User,Prompt
"A McFlurry with Oreo cookies and a small Fanta.","{'dish': 'McFlurry', 'quantity': 1, 'comment': 'Oreo cookies'}, {'dish': 'Fanta', 'quantity': 1, 'comment': 'Small'}"
"A classic Big Tasty, no tomatoes, and a large Coke.","{'dish': 'Big Tasty', 'quantity': 1, 'comment': 'no tomatoes'}, {'dish': 'Coke', 'quantity': 1, 'comment': 'Large'}"
"A Spicy McChicken, no mayo, and a small vanilla shake.","{'dish': 'Spicy McChicken', 'quantity': 1, 'comment': 'no mayo'}, {'dish': 'Vanilla Shake', 'quantity': 1, 'comment': 'Small'}"
"Medium French Fries and a small apple pie.","{'dish': 'French Fries', 'quantity': 1, 'comment': 'Medium'}, {'dish': 'Apple Pie', 'quantity': 1, 'comment': 'Small'}"
"A Bacon Ranch Salad with extra bacon and a side of ranch dressing.","{'dish': 'Bacon Ranch Salad', 'quantity': 1, 'comment': 'extra bacon'}, {'dish': 'Ranch Dressing', 'quantity': 1, 'comment': ''}"
"A Chicken McNuggets with barbecue sauce.","{'dish': 'Chicken McNuggets', 'quantity': 1, 'comment': 'barbecue sauce'}"
"A classic Filet-O-Fish with extra tartar sauce and a small Sprite.","{'dish': 'Filet-O-Fish', 'quantity': 1, 'comment': 'extra tartar sauce'}, {'dish': 'Sprite', 'quantity': 1, 'comment': 'Small'}"
"A McRib with extra pickles and a small apple pie.","{'dish': 'McRib', 'quantity': 1, 'comment': 'extra pickles'}, {'dish': 'Apple Pie', 'quantity': 1, 'comment': 'Small'}"
"A Grilled Chicken Wrap with extra lettuce and a small Coke.","{'dish': 'Grilled Chicken Wrap', 'quantity': 1, 'comment': 'extra lettuce'}, {'dish': 'Coke', 'quantity': 1, 'comment': 'Small'}"
"A classic McChicken and a medium Fanta.","{'dish': 'McChicken', 'quantity': 1, 'comment': ''}, {'dish': 'Fanta', 'quantity': 1, 'comment': 'Medium'}"
"Crispy Chicken Sandwich, no lettuce, and a small vanilla shake.","{'dish': 'Crispy Chicken Sandwich', 'quantity': 1, 'comment': 'no lettuce'}, {'dish': 'Vanilla Shake', 'quantity': 1, 'comment': 'Small'}"
"Large French Fries and a Hot Apple Pie.","{'dish': 'French Fries', 'quantity': 1, 'comment': 'Large'}, {'dish': 'Apple Pie', 'quantity': 1, 'comment': 'Hot'}"
"A Bacon Ranch Salad with extra cheese and a side of ranch dressing.","{'dish': 'Bacon Ranch Salad', 'quantity': 1, 'comment': 'extra cheese'}, {'dish': 'Ranch Dressing', 'quantity': 1, 'comment': ''}"
"A Chicken McNuggets with sweet and sour sauce.","{'dish': 'Chicken McNuggets', 'quantity': 1, 'comment': 'sweet and sour sauce'}"
"A classic Filet-O-Fish with tartar sauce and a medium Coke.","{'dish': 'Filet-O-Fish', 'quantity': 1, 'comment': 'tartar sauce'}, {'dish': 'Coke', 'quantity': 1, 'comment': 'Medium'}"
"A McRib with extra onions and a small Sprite.","{'dish': 'McRib', 'quantity': 1, 'comment': 'extra onions'}, {'dish': 'Sprite', 'quantity': 1, 'comment': 'Small'}"
"A Grilled Chicken Wrap, no tomatoes, and a small apple pie.","{'dish': 'Grilled Chicken Wrap', 'quantity': 1, 'comment': 'no tomatoes'}, {'dish': 'Apple Pie', 'quantity': 1, 'comment': 'Small'}"
"A McFlurry with Oreo cookies and a small Fanta.","{'dish': 'McFlurry', 'quantity': 1, 'comment': 'Oreo cookies'}, {'dish': 'Fanta', 'quantity': 1, 'comment': 'Small'}"
"A classic Big Tasty, no tomatoes, and a large Coke.","{'dish': 'Big Tasty', 'quantity': 1, 'comment': 'no tomatoes'}, {'dish': 'Coke', 'quantity': 1, 'comment': 'Large'}"
"A Spicy McChicken, no mayo, and a small vanilla shake.","{'dish': 'Spicy McChicken', 'quantity': 1, 'comment': 'no mayo'}, {'dish': 'Vanilla Shake', 'quantity': 1, 'comment': 'Small'}"
"Medium French Fries and a small apple pie.","{'dish': 'French Fries', 'quantity': 1, 'comment': 'Medium'}, {'dish': 'Apple Pie', 'quantity': 1, 'comment': 'Small'}"
"A Bacon Ranch Salad with extra bacon and a side of ranch dressing.","{'dish': 'Bacon Ranch Salad', 'quantity': 1, 'comment': 'extra bacon'}, {'dish': 'Ranch Dressing', 'quantity': 1, 'comment': ''}"
"A Chicken McNuggets with barbecue sauce.","{'dish': 'Chicken McNuggets', 'quantity': 1, 'comment': 'barbecue sauce'}"
"A classic Filet-O-Fish with extra tartar sauce and a small Sprite.","{'dish': 'Filet-O-Fish', 'quantity': 1, 'comment': 'extra tartar sauce'}, {'dish': 'Sprite', 'quantity': 1, 'comment': 'Small'}"
"A McRib with extra pickles and a small apple pie.","{'dish': 'McRib', 'quantity': 1, 'comment': 'extra pickles'}, {'dish': 'Apple Pie', 'quantity': 1, 'comment': 'Small'}"
"A Grilled Chicken Wrap with extra lettuce and a small Coke.","{'dish': 'Grilled Chicken Wrap', 'quantity': 1, 'comment': 'extra lettuce'}, {'dish': 'Coke', 'quantity': 1, 'comment': 'Small'}"
"A classic McChicken and a medium Fanta.","{'dish': 'McChicken', 'quantity': 1, 'comment': ''}, {'dish': 'Fanta', 'quantity': 1, 'comment': 'Medium'}"
"Crispy Chicken Sandwich, no lettuce, and a small vanilla shake.","{'dish': 'Crispy Chicken Sandwich', 'quantity': 1, 'comment': 'no lettuce'}, {'dish': 'Vanilla Shake', 'quantity': 1, 'comment': 'Small'}"
"Large French Fries and a Hot Apple Pie.","{'dish': 'French Fries', 'quantity': 1, 'comment': 'Large'}, {'dish': 'Apple Pie', 'quantity': 1, 'comment': 'Hot'}"
"A Bacon Ranch Salad with extra cheese and a side of ranch dressing.","{'dish': 'Bacon Ranch Salad', 'quantity': 1, 'comment': 'extra cheese'}, {'dish': 'Ranch Dressing', 'quantity': 1, 'comment': ''}"
"A piece Chicken McNuggets with sweet and sour sauce.","{'dish': 'piece Chicken McNuggets', 'quantity': 1, 'comment': 'sweet and sour sauce'}"
"A classic Filet-O-Fish with tartar sauce and a medium Coke.","{'dish': 'Filet-O-Fish', 'quantity': 1, 'comment': 'tartar sauce'}, {'dish': 'Coke', 'quantity': 1, 'comment': 'Medium'}"
"A McRib with extra onions and a small Sprite.","{'dish': 'McRib', 'quantity': 1, 'comment': 'extra onions'}, {'dish': 'Sprite', 'quantity': 1, 'comment': 'Small'}"
"A Grilled Chicken Wrap, no tomatoes, and a small apple pie.","{'dish': 'Grilled Chicken Wrap', 'quantity': 1, 'comment': 'no tomatoes'}, {'dish': 'Apple Pie', 'quantity': 1, 'comment': 'Small'}"
"A McFlurry with Oreo cookies and a small Fanta.","{'dish': 'McFlurry', 'quantity': 1, 'comment': 'Oreo cookies'}, {'dish': 'Fanta', 'quantity': 1, 'comment': 'Small'}"
"A classic Big Tasty, no tomatoes, and a large Coke.","{'dish': 'Big Tasty', 'quantity': 1, 'comment': 'no tomatoes'}, {'dish': 'Coke', 'quantity': 1, 'comment': 'Large'}"
"A Spicy McChicken, no mayo, and a small vanilla shake.","{'dish': 'Spicy McChicken', 'quantity': 1, 'comment': 'no mayo'}, {'dish': 'Vanilla Shake', 'quantity': 1, 'comment': 'Small'}"
"Medium French Fries and a small apple pie.","{'dish': 'French Fries', 'quantity': 1, 'comment': 'Medium'}, {'dish': 'Apple Pie', 'quantity': 1, 'comment': 'Small'}"
"A Bacon Ranch Salad with extra bacon and a side of ranch dressing.","{'dish': 'Bacon Ranch Salad', 'quantity': 1, 'comment': 'extra bacon'}, {'dish': 'Ranch Dressing', 'quantity': 1, 'comment': ''}"
"A 10-piece Chicken McNuggets with barbecue sauce.","{'dish': '10-piece Chicken McNuggets', 'quantity': 1, 'comment': 'barbecue sauce'}"
"A classic Filet-O-Fish with extra tartar sauce and a small Sprite.","{'dish': 'Filet-O-Fish', 'quantity': 1, 'comment': 'extra tartar sauce'}, {'dish': 'Sprite', 'quantity': 1, 'comment': 'Small'}"
"A McRib with extra pickles and a small apple pie.","{'dish': 'McRib', 'quantity': 1, 'comment': 'extra pickles'}, {'dish': 'Apple Pie', 'quantity': 1, 'comment': 'Small'}"
"A Grilled Chicken Wrap with extra lettuce and a small Coke.","{'dish': 'Grilled Chicken Wrap', 'quantity': 1, 'comment': 'extra lettuce'}, {'dish': 'Coke', 'quantity': 1, 'comment': 'Small'}"
"A classic McChicken and a medium Fanta.","{'dish': 'McChicken', 'quantity': 1, 'comment': ''}, {'dish': 'Fanta', 'quantity': 1, 'comment': 'Medium'}"
"Crispy Chicken Sandwich, no lettuce, and a small vanilla shake.","{'dish': 'Crispy Chicken Sandwich', 'quantity': 1, 'comment': 'no lettuce'}, {'dish': 'Vanilla Shake', 'quantity': 1, 'comment': 'Small'}"
"Large French Fries and a Hot Apple Pie.","{'dish': 'French Fries', 'quantity': 1, 'comment': 'Large'}, {'dish': 'Apple Pie', 'quantity': 1, 'comment': 'Hot'}"
"Give me Mac Crispy Supreme with coke, 3 mac toasts make them spicy and 2 french fries","{'dish': 'McCrispy Supreme', 'quantity': 1, 'comment': ''}, {'dish': 'Coke', 'quantity': 1, 'comment': ''}, {'dish': 'McToast', 'quantity': 3, 'comment': 'spicy'}, {'dish': 'French Fries', 'quantity': 2, 'comment': ''}"
"Can I please have a Maestro Bacon and Cheddar but I want no onions in it. Also please add to it two fries with one barbecue sauce","{'dish': 'Maestro Bacon and Cheddar', 'quantity': 1, 'comment': 'no onions'}, {'dish': 'Fries', 'quantity': 2, 'comment': ''}, {'dish': 'Barbecue Sauce', 'quantity': 1, 'comment': ''}"
"Hey, I want one coke, please do add any ice, and I also want two cappuccinos for me and my wife, please make sure they are extra sweet","{'dish': 'Coca-Cola', 'quantity': 1, 'comment': 'no ice'}, {'dish': 'Cappuccino', 'quantity': 2, 'comment': 'extra sweet'}"
"I'd like a Big Mac, extra pickles, a large Sprite, and a mixed salad with Italian dressing","{'dish': 'Big Mac', 'quantity': 1, 'comment': 'extra pickles'}, {'dish': 'Sprite', 'quantity': 1, 'comment': 'large'}, {'dish': 'Mixed Salad', 'quantity': 1, 'comment': 'Italian dressing'}"
"Give me a Chicken McNuggets Happy Meal with a toy, and a chocolate milkshake, please","{'dish': 'Chicken McNuggets Happy Meal', 'quantity': 1, 'comment': 'with toy'}, {'dish': 'Chocolate Milkshake', 'quantity': 1, 'comment': ''}"
"I'll have a Filet-O-Fish with extra tartar sauce, a small fries, and a small Coke","{'dish': 'Filet-O-Fish', 'quantity': 1, 'comment': 'extra tartar sauce'}, {'dish': 'Fries', 'quantity': 1, 'comment': 'small'}, {'dish': 'Coke', 'quantity': 1, 'comment': 'small'}"
"May I get a Double Cheeseburger with no onions and a medium vanilla shake?","{'dish': 'Double Cheeseburger', 'quantity': 1, 'comment': 'no onions'}, {'dish': 'Vanilla Shake', 'quantity': 1, 'comment': 'medium'}"
"I'd like a Quarter Pounder with Cheese, extra ketchup, and a small Sprite","{'dish': 'Quarter Pounder with Cheese', 'quantity': 1, 'comment': 'extra ketchup'}, {'dish': 'Sprite', 'quantity': 1, 'comment': 'small'}"
"Can I have a McChicken, no lettuce, and a medium iced coffee with cream and sugar?","{'dish': 'McChicken', 'quantity': 1, 'comment': 'no lettuce'}, {'dish': 'Iced Coffee', 'quantity': 1, 'comment': 'medium'}"
"I'll take a Bacon, Egg & Cheese Biscuit and a hash brown, please","{'dish': 'Bacon', 'quantity': 1, 'comment': '1'}, {'dish': 'Hash Brown', 'quantity': 1, 'comment': ''}"
"Give me a Sausage McMuffin with Egg, add extra cheese, and a large orange juice","{'dish': 'Sausage McMuffin with Egg', 'quantity': 1, 'comment': 'extra cheese'}, {'dish': 'Orange Juice', 'quantity': 1, 'comment': 'large'}"
"I want a Big Breakfast with hotcakes, extra butter, and syrup, and a small coffee with cream","{'dish': 'Big Breakfast with Hotcakes', 'quantity': 1, 'comment': 'extra butter and syrup'}, {'dish': 'Coffee', 'quantity': 1, 'comment': 'small'}"
"May I have a Fruit 'N Yogurt Parfait and a small caramel frappe?","{'dish': Fruit 'N Yogurt Parfait, 'quantity': 1, 'comment': ''}, {'dish': 'Caramel Frappe', 'quantity': 1, 'comment': 'small'}"
"I'd like a McFlurry with Oreo cookies and a side of apple slices","{'dish': 'McFlurry with Oreo Cookies', 'quantity': 1, 'comment': ''}, {'dish': 'Apple Slices', 'quantity': 1, 'comment': ''}"
"I'll have a Grilled Chicken Salad with Italian dressing and a bottle of water","{'dish': 'Grilled Chicken Salad', 'quantity': 1, 'comment': 'Italian dressing'}, {'dish': 'Water', 'quantity': 1, 'comment': 'bottle'}"
"Can I get a Hot Fudge Sundae and a small fries, please","{'dish': 'Hot Fudge Sundae', 'quantity': 1, 'comment': ''}, {'dish': 'Fries', 'quantity': 1, 'comment': 'small'}"
"I want a Southwest Grilled Chicken Salad with no corn and a small Diet Coke","{'dish': 'Southwest Grilled Chicken Salad', 'quantity': 1, 'comment': 'no corn'}, {'dish': 'Diet Coke', 'quantity': 1, 'comment': 'small'}"
"Give me a Quarter Pounder with Cheese, extra mustard, and a medium iced tea","{'dish': 'Quarter Pounder with Cheese', 'quantity': 1, 'comment': 'extra mustard'}, {'dish': 'Iced Tea', 'quantity': 1, 'comment': 'medium'}"
"May I have a Chicken McNuggets Happy Meal with apples instead of fries and a small orange juice?","{'dish': 'Chicken McNuggets Happy Meal', 'quantity': 1, 'comment': 'apples'}, {'dish': 'Orange Juice', 'quantity': 1, 'comment': 'small'}"
"I'd like a McDouble with extra pickles, a small Sprite, and a mixed salad with ranch dressing","{'dish': 'McDouble', 'quantity': 1, 'comment': 'extra pickles'}, {'dish': 'Sprite', 'quantity': 1, 'comment': 'small'}, {'dish': 'Mixed Salad', 'quantity': 1, 'comment': ''}"
"Give me a Filet-O-Fish with no tartar sauce, a medium fries, and a medium Coke","{'dish': 'Filet-O-Fish', 'quantity': 1, 'comment': 'no tartar sauce'}, {'dish': 'Fries', 'quantity': 1, 'comment': 'medium'}, {'dish': 'Coke', 'quantity': 1, 'comment': 'medium'}"
"Can I please have a Quarter Pounder with Cheese, extra onions, and a small vanilla shake?","{'dish': 'Quarter Pounder with Cheese', 'quantity': 1, 'comment': 'extra onions'}, {'dish': 'Vanilla Shake', 'quantity': 1, 'comment': 'smal'}"
"Hey, I want one apple pie, please make it extra crispy, and a small coffee with cream","{'dish': 'Apple Pie', 'quantity': 1, 'comment': 'extra crispy'}, {'dish': 'Coffee', 'quantity': 1, 'comment': 'small'}"
"I'll have a Bacon, Egg & Cheese McGriddles and a hash brown, please","{'dish': 'Bacon', 'quantity': 1, 'comment': '1'}, {'dish': 'Hash Brown', 'quantity': 1, 'comment': ''}"
"May I get a Spicy McChicken, add lettuce, and a medium orange juice?","{'dish': 'Spicy McChicken', 'quantity': 1, 'comment': 'add lettuce'}, {'dish': 'Orange Juice', 'quantity': 1, 'comment': 'medium'}"
"Give me a Hotcakes and Sausage breakfast platter with extra syrup and a small orange juice","{'dish': 'Hotcakes and Sausage Platter', 'quantity': 1, 'comment': 'extra syrup'}, {'dish': 'Orange Juice', 'quantity': 1, 'comment': 'small'}"
"I'd like a Big Mac, extra lettuce, a large Coke, and a side of ketchup","{'dish': 'Big Mac', 'quantity': 1, 'comment': 'extra lettuce'}, {'dish': 'Coke', 'quantity': 1, 'comment': 'large'}, {'dish': 'Ketchup', 'quantity': 1, 'comment': ''}"
"Can I have a McFlurry with M&M's and a small fries, please","{'dish': McFlurry with 'M&Ms', 'quantity': 1, 'comment': ''}, {'dish': 'Fries', 'quantity': 1, 'comment': 'small'}"
"I'll take a Southwest Grilled Chicken Wrap, no tomatoes, and a medium iced coffee with cream","{'dish': 'Southwest Grilled Chicken Wrap', 'quantity': 1, 'comment': 'no tomatoes'}, {'dish': 'Iced Coffee', 'quantity': 1, 'comment': 'medium'}"
"May I get a Double Quarter Pounder with Cheese, extra mustard, and a small Sprite","{'dish': 'Double Quarter Pounder with Cheese', 'quantity': 1, 'comment': 'extra mustard'}, {'dish': 'Sprite', 'quantity': 1, 'comment': 'small'}"
"May I get a Double Quarter Pounder with Cheese, extra mustard, and a small Sprite","{'dish': 'Double Quarter Pounder with Cheese', 'quantity': 1, 'comment': 'extra mustard'}, {'dish': 'Sprite', 'quantity': 1, 'comment': 'small'}"
"I want a McChicken with no lettuce, and a medium chocolate shake","{'dish': 'McChicken', 'quantity': 1, 'comment': 'no lettuce'}, {'dish': 'Chocolate Shake', 'quantity': 1, 'comment': 'medium'}"
"Give me a Bacon, Egg & Cheese Bagel and a hash brown, please","{'dish': 'Bacon', 'quantity': 1, 'comment': '1'}, {'dish': 'Hash Brown', 'quantity': 1, 'comment': ''}"
"I'd like a Deluxe Crispy Chicken Sandwich, add pickles, and a small Diet Coke","{'dish': 'Deluxe Crispy Chicken Sandwich', 'quantity': 1, 'comment': 'add pickles'}, {'dish': 'Diet Coke', 'quantity': 1, 'comment': 'small'}"
"Can I please have a Fruit 'N Yogurt Parfait and a small caramel frappe?","{'dish': Fruit 'N Yogurt Parfait, 'quantity': 1, 'comment': ''}, {'dish': 'Caramel Frappe', 'quantity': 1, 'comment': 'small'}"
"Hey, I want one apple pie, please make it extra crispy, and a small coffee with cream","{'dish': 'Apple Pie', 'quantity': 1, 'comment': 'extra crispy'}, {'dish': 'Coffee', 'quantity': 1, 'comment': 'small'}"
"I'll have a Bacon, Egg & Cheese McGriddles and a hash brown, please","{'dish': 'Bacon', 'quantity': 1, 'comment': '1'}, {'dish': 'Hash Brown', 'quantity': 1, 'comment': ''}"
"May I get a Spicy McChicken, add lettuce, and a medium orange juice?","{'dish': 'Spicy McChicken', 'quantity': 1, 'comment': 'add lettuce'}, {'dish': 'Orange Juice', 'quantity': 1, 'comment': 'medium'}"
"Give me a Hotcakes and Sausage breakfast platter with extra syrup and a small orange juice","{'dish': 'Hotcakes and Sausage Platter', 'quantity': 1, 'comment': 'extra syrup'}, {'dish': 'Orange Juice', 'quantity': 1, 'comment': ''}"
"I'd like a Big Mac, extra lettuce, a large Coke, and a side of ketchup","{'dish': 'Big Mac', 'quantity': 1, 'comment': 'extra lettuce'}, {'dish': 'Coke', 'quantity': 1, 'comment': 'large'}, {'dish': 'Ketchup', 'quantity': 1, 'comment': ''}"
"Can I have a McFlurry with M&M's and a small fries, please","{'dish': McFlurry with 'M&Ms', 'quantity': 1, 'comment': ''}, {'dish': 'Fries', 'quantity': 1, 'comment': 'small'}"
"I'll take a Southwest Grilled Chicken Wrap, no tomatoes, and a medium iced coffee with cream","{'dish': 'Southwest Grilled Chicken Wrap', 'quantity': 1, 'comment': 'no tomatoes'}, {'dish': 'Iced Coffee', 'quantity': 1, 'comment': 'medium'}"
"May I get a Double Quarter Pounder with Cheese, extra mustard, and a small Sprite","{'dish': 'Double Quarter Pounder with Cheese', 'quantity': 1, 'comment': 'extra mustard'}, {'dish': 'Sprite', 'quantity': 1, 'comment': 'small'}"
"I want a McChicken with no lettuce, and a medium chocolate shake","{'dish': 'McChicken', 'quantity': 1, 'comment': 'no lettuce'}, {'dish': 'Chocolate Shake', 'quantity': 1, 'comment': 'medium'}"
"Give me a Bacon, Egg & Cheese Bagel and a hash brown, please","{'dish': 'Bacon', 'quantity': 1, 'comment': '1'}, {'dish': 'Hash Brown', 'quantity': 1, 'comment': ''}"
"I'd like a Deluxe Crispy Chicken Sandwich, add pickles, and a small Diet Coke","{'dish': 'Deluxe Crispy Chicken Sandwich', 'quantity': 1, 'comment': 'add pickles'}, {'dish': 'Diet Coke', 'quantity': 1, 'comment': 'small'}"
"Can I please have a Fruit 'N Yogurt Parfait and a small caramel frappe?","{'dish': Fruit 'N Yogurt Parfait, 'quantity': 1, 'comment': ''}, {'dish': 'Caramel Frappe', 'quantity': 1, 'comment': 'small'}"
"Hey, I want one apple pie, please make it extra crispy, and a small coffee with cream","{'dish': 'Apple Pie', 'quantity': 1, 'comment': 'extra crispy'}, {'dish': 'Coffee', 'quantity': 1, 'comment': 'small'}"
"I'll have a Bacon, Egg & Cheese McGriddles and a hash brown, please","{'dish': 'Bacon', 'quantity': 1, 'comment': '1'}, {'dish': 'Hash Brown', 'quantity': 1, 'comment': ''}"
"May I get a Spicy McChicken with lettuce, and a medium orange juice?","{'dish': 'Spicy McChicken', 'quantity': 1, 'comment': 'with lettuce'}, {'dish': 'Orange Juice', 'quantity': 1, 'comment': 'medium'}"
"Give me a Hotcakes and Sausage breakfast platter with extra syrup and a small orange juice","{'dish': 'Hotcakes and Sausage Platter', 'quantity': 1, 'comment': 'extra syrup'}, {'dish': 'Orange Juice', 'quantity': 1, 'comment': ''}"
"I'd like a Big Mac, extra lettuce, a large Coke, and a side of ketchup","{'dish': 'Big Mac', 'quantity': 1, 'comment': 'extra lettuce'}, {'dish': 'Coke', 'quantity': 1, 'comment': 'large'}, {'dish': 'Ketchup', 'quantity': 1, 'comment': ''}"
"Can I have a McFlurry with M&M's and a small fries, please","{'dish': McFlurry with 'M&Ms', 'quantity': 1, 'comment': ''}, {'dish': 'Fries', 'quantity': 1, 'comment': 'small'}"
"I'll take a Southwest Grilled Chicken Wrap, no tomatoes, and a medium iced coffee with cream","{'dish': 'Southwest Grilled Chicken Wrap', 'quantity': 1, 'comment': 'no tomatoes'}, {'dish': 'Iced Coffee', 'quantity': 1, 'comment': 'medium'}"
"May I get a Double Quarter Pounder with Cheese, extra mustard, and a small Sprite","{'dish': 'Double Quarter Pounder with Cheese', 'quantity': 1, 'comment': 'extra mustard'}, {'dish': 'Sprite', 'quantity': 1, 'comment': 'small'}"
"I want a McChicken with no lettuce, and a medium chocolate shake","{'dish': 'McChicken', 'quantity': 1, 'comment': 'no lettuce'}, {'dish': 'Chocolate Shake', 'quantity': 1, 'comment': 'medium'}"
"Give me a Bacon, Egg & Cheese Bagel and a hash brown, please","{'dish': 'Bacon', 'quantity': 1, 'comment': '1'}, {'dish': 'Hash Brown', 'quantity': 1, 'comment': ''}"
"I'd like a Deluxe Crispy Chicken Sandwich, add pickles, and a small Diet Coke","{'dish': 'Deluxe Crispy Chicken Sandwich', 'quantity': 1, 'comment': 'add pickles'}, {'dish': 'Diet Coke', 'quantity': 1, 'comment': 'small'}"
"Can I please have a Fruit 'N Yogurt Parfait and a small caramel frappe?","{'dish': Fruit 'N Yogurt Parfait, 'quantity': 1, 'comment': ''}, {'dish': 'Caramel Frappe', 'quantity': 1, 'comment': 'small'}"
"Hey, I want one apple pie, please make it extra crispy, and a small coffee with cream","{'dish': 'Apple Pie', 'quantity': 1, 'comment': 'extra crispy'}, {'dish': 'Coffee', 'quantity': 1, 'comment': 'small'}"
"I'll have a Bacon, Egg & Cheese McGriddles and a hash brown, please","{'dish': 'Bacon', 'quantity': 1, 'comment': '1'}, {'dish': 'Hash Brown', 'quantity': 1, 'comment': ''}"
"May I get a Spicy McChicken, add lettuce, and a medium orange juice?","{'dish': 'Spicy McChicken', 'quantity': 1, 'comment': 'add lettuce'}, {'dish': 'Orange Juice', 'quantity': 1, 'comment': 'medium'}"
"Give me a Hotcakes and Sausage breakfast platter with extra syrup and a small orange juice","{'dish': 'Hotcakes and Sausage Platter', 'quantity': 1, 'comment': 'extra syrup'}, {'dish': 'Orange Juice', 'quantity': 1, 'comment': 'small'}"
"I'd like a Big Mac, extra lettuce, a large Coke, and a side of ketchup","{'dish': 'Big Mac', 'quantity': 1, 'comment': 'extra lettuce'}, {'dish': 'Coke', 'quantity': 1, 'comment': 'large'}, {'dish': 'Ketchup', 'quantity': 1, 'comment': ''}"
"Can I have a McFlurry with M&Ms and a small fries, please","{'dish': McFlurry with 'M&Ms', 'quantity': 1, 'comment': ''}, {'dish': 'Fries', 'quantity': 1, 'comment': 'small'}"
"I'll take a Southwest Grilled Chicken Wrap, no tomatoes, and a medium iced coffee with cream","{'dish': 'Southwest Grilled Chicken Wrap', 'quantity': 1, 'comment': 'no tomatoes'}, {'dish': 'Iced Coffee', 'quantity': 1, 'comment': 'medium'}"
"May I get a Double Quarter Pounder with Cheese, extra mustard, and a small Sprite","{'dish': 'Double Quarter Pounder with Cheese', 'quantity': 1, 'comment': 'extra mustard'}, {'dish': 'Sprite', 'quantity': 1, 'comment': 'small'}"
"I want a McChicken, no lettuce, and a medium chocolate shake","{'dish': 'McChicken', 'quantity': 1, 'comment': 'no lettuce'}, {'dish': 'Chocolate Shake', 'quantity': 1, 'comment': 'medium'}"
"Give me a Bacon, Egg & Cheese Bagel and a hash brown, please","{'dish': 'Bacon', 'quantity': 1, 'comment': '1'}, {'dish': 'Hash Brown', 'quantity': 1, 'comment': ''}"
"I'd like a Deluxe Crispy Chicken Sandwich, add pickles, and a small Diet Coke","{'dish': 'Deluxe Crispy Chicken Sandwich', 'quantity': 1, 'comment': 'add pickles'}, {'dish': 'Diet Coke', 'quantity': 1, 'comment': 'small'}"
"Can I please have a Fruit 'N Yogurt Parfait and a small caramel frappe?","{'dish': Fruit 'N Yogurt Parfait, 'quantity': 1, 'comment': ''}, {'dish': 'Caramel Frappe', 'quantity': 1, 'comment': 'small'}"
"I'll take a Southwest Grilled Chicken Wrap, no tomatoes, and a medium iced coffee with cream. Also 2 packs of french fries with barbecue sauce, actually no, cancel barbecue sauce and add cheese sauce","{'dish': 'Southwest Grilled Chicken Wrap', 'quantity': 1, 'comment': 'no tomatoes'}, {'dish': 'Iced Coffee', 'quantity': 1, 'comment': ''}, {'dish': 'french fries', 'quantity': 2, 'comment': 'with cheese sauce'}"
